Fx, Fy, Fz, F.Mag
0.1837538,0.01078945,0.3871417,0.428673,
0.1837538,0.01078945,0.3871417,0.428673,
0.1837538,0.01078945,0.3871417,0.428673,
0.1837538,0.01078945,0.3871417,0.428673,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0.1826771,0.01829696,0.3907368,0.4317186,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1811651,0.02641912,0.4072713,0.4465295,
0.1811651,0.02641912,0.4072713,0.4465295,
0.1811651,0.02641912,0.4072713,0.4465295,
0.1811651,0.02641912,0.4072713,0.4465295,
0.1811651,0.02641912,0.4072713,0.4465295,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0.1617363,0.02377335,0.4071201,0.4387147,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1653469,0.02607908,0.4217731,0.4537756,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0.1609649,0.02508253,0.4192257,0.4497655,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1860806,0.02754098,0.4335894,0.4726355,
0.1860806,0.02754098,0.4335894,0.4726355,
0.1860806,0.02754098,0.4335894,0.4726355,
0.1860806,0.02754098,0.4335894,0.4726355,
0.1860806,0.02754098,0.4335894,0.4726355,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0.155973,0.02328726,0.4336926,0.461475,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.156912,0.02414774,0.4441208,0.4716437,
0.156912,0.02414774,0.4441208,0.4716437,
0.156912,0.02414774,0.4441208,0.4716437,
0.156912,0.02414774,0.4441208,0.4716437,
0.156912,0.02414774,0.4441208,0.4716437,
0.156912,0.02414774,0.4441208,0.4716437,
0.1355025,0.02096105,0.4432177,0.463942,
0.1355025,0.02096105,0.4432177,0.463942,
0.1355025,0.02096105,0.4432177,0.463942,
0.1355025,0.02096105,0.4432177,0.463942,
0.1355025,0.02096105,0.4432177,0.463942,
0.1355025,0.02096105,0.4432177,0.463942,
0.1355025,0.02096105,0.4432177,0.463942,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.141682,0.02267098,0.4526868,0.4748822,
0.141682,0.02267098,0.4526868,0.4748822,
0.141682,0.02267098,0.4526868,0.4748822,
0.141682,0.02267098,0.4526868,0.4748822,
0.141682,0.02267098,0.4526868,0.4748822,
0.141682,0.02267098,0.4526868,0.4748822,
0.141682,0.02267098,0.4526868,0.4748822,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0.1208415,0.01952509,0.4531835,0.4694243,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.12167,0.02132267,0.4675348,0.4835773,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0.1238941,0.02037818,0.4648076,0.4814677,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1570343,0.02159163,0.4742884,0.5000755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0.1461236,0.01881164,0.4744259,0.4967755,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.149833,0.01471026,0.4861397,0.5089186,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0.1302717,0.01059197,0.4851499,0.5024474,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1275573,0.0131552,0.5021265,0.5182421,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0.1431729,0.0162326,0.5025835,0.5228309,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.2145095,0.01976422,0.5132908,0.5566618,
0.1909826,0.01911534,0.5138722,0.5485475,
